Days	Contacts	Infected	Infectious Duration	Infectivity	IR	N	Removed	RR	Susceptible
1	10	1	2	0.2	1.9998	10000	0	0.5	9999
1.125	10	1.187475	2	0.2	2.37465313719	10000	0.0625	0.5937375	9998.750025
1.25	10	1.41008945465	2	0.2	2.81974268215	10000	0.1367171875	0.705044727324	9998.45319336
1.375	10	1.674426699	2	0.2	3.34821735882	10000	0.224847778416	0.837213349501	9998.10072552
1.5	10	1.98830220017	2	0.2	3.97568270231	10000	0.329499447103	0.994151100084	9997.68219835
1.625	10	2.36099365045	2	0.2	4.72065817386	10000	0.453768334614	1.18049682522	9997.18523801
1.75	10	2.80351381902	2	0.2	5.60511853246	10000	0.601330437766	1.40175690951	9996.59515574
1.875	10	3.32893402189	2	0.2	6.65513466667	10000	0.776550051455	1.66446701095	9995.89451593
2	10	3.95276747886	2	0.2	7.90163169793	10000	0.984608427824	1.97638373943	9995.06262409
2.125	10	4.69342347367	2	0.2	9.38128516556	10000	1.23165639525	2.34671173684	9994.07492013
2.25	10	5.57274515226	2	0.2	11.1375795247	10000	1.52499536236	2.78637257613	9992.90225949
2.375	10	6.61664602083	2	0.2	13.2220570588	10000	1.87329193437	3.30832301042	9991.51006204
2.5	10	7.85586277689	2	0.2	15.6957896296	10000	2.28683231068	3.92793138844	9989.85730491
2.625	10	9.32684505703	2	0.2	18.63111044	10000	2.77782373423	4.66342252852	9987.89533121
2.75	10	11.072806046	2	0.2	22.1136480952	10000	3.3607515503	5.53640302298	9985.5664424
2.875	10	13.14496168	2	0.2	26.2447105713	10000	4.05280192817	6.57248084	9982.80223639
3	10	15.6039903964	2	0.2	31.1440719899	10000	4.87436203317	7.8019951982	9979.52164757
3.125	10	18.5217499954	2	0.2	36.953219938	10000	5.84961143294	9.26087499768	9975.62863857
3.25	10	21.9832931129	2	0.2	43.8391248328	10000	7.00722080765	10.9916465565	9971.00948608
3.375	10	26.0892278974	2	0.2	51.998594547	10000	8.38117662721	13.0446139487	9965.52959548
3.5	10	30.9584754722	2	0.2	61.6632757795	10000	10.0117533708	15.4792377361	9959.02977116
3.625	10	36.7314802277	2	0.2	73.1053564403	10000	11.9466580878	18.3657401138	9951.32186168
3.75	10	43.5739322685	2	0.2	86.6440077603	10000	14.242375602	21.7869661342	9942.18369213
3.875	10	51.6810624717	2	0.2	102.65257694	10000	16.9657463688	25.8405312359	9931.35319116
4	10	61.2825681848	2	0.2	121.566495482	10000	20.1958127733	30.6412840924	9918.52161904
4.125	10	72.6482196085	2	0.2	143.891797618	10000	24.0259732849	36.3241098043	9903.32580711
4.25	10	86.0941805852	2	0.2	170.214037926	10000	28.5664870104	43.0470902926	9885.3393324
4.375	10	101.990049039	2	0.2	201.207245205	10000	33.947373297	50.9950245197	9864.06257766
4.5	10	120.766576625	2	0.2	237.642336069	10000	40.3217513619	60.3832883125	9838.91167201
4.625	10	142.923957595	2	0.2	280.394119338	10000	47.869662401	71.4619787973	9809.20638
4.75	10	169.040475162	2	0.2	330.445632609	10000	56.8024097506	84.5202375811	9774.15711509
4.875	10	199.781149541	2	0.2	388.88804864	10000	67.3674394483	99.8905747703	9732.85141101
5	10	235.905833774	2	0.2	456.913761439	10000	79.8537612946	117.952916887	9684.24040493
5.125	10	278.275939343	2	0.2	535.799516448	10000	94.5978759055	139.137969672	9627.12618475
5.25	10	327.85863269	2	0.2	626.875623113	10000	111.990122114	163.929316345	9560.1512452
5.375	10	385.726921036	2	0.2	731.476470791	10000	132.481286658	192.863460518	9481.79179231
5.5	10	453.05354732	2	0.2	850.866931045	10000	156.589219222	226.52677366	9390.35723346
5.625	10	531.096066994	2	0.2	986.139056855	10000	184.90506593	265.548033497	9283.99886708
5.75	10	621.169944913	2	0.2	1138.07421438	10000	218.098570117	310.584972457	9160.73148497
