Day	dC	E	E to I	I	I to R	lambda	N	out of dC	par beta	par gamma	par sigma	R	S	S to E	to dC
0	0	0	0	1	0.5	0.001	1000	0	1	0.5	0.5	0	999	0.999	0
1	0.187277332757	0.657327255652	0.314723390552	0.764373516658	0.384187333895	0.000764373516658	1000	0	1	0.5	0.5	0.422903816099	998.155395412	0.766994153548	0.314723390552
2	0.420997794154	1.00434777293	0.492850230195	0.800504416476	0.39719657122	0.000800504416476	1000	0	1	0.5	0.5	0.807770710435	997.3873771	0.79235703221	0.492850230195
3	0.574357135063	1.29267593298	0.637228497343	0.942201875897	0.465701808847	0.000942201875897	1000	0	1	0.5	0.5	1.24043038608	996.524691805	0.928220736228	0.637228497343
4	0.722565253547	1.60511998229	0.792090020821	1.14518784859	0.565477362041	0.00114518784859	1000	0	1	0.5	0.5	1.76000966693	995.489682502	1.12593334349	0.792090020821
5	0.892287583607	1.97561651356	0.975194742109	1.40282007644	0.692538164897	0.00140282007644	1000	0	1	0.5	0.5	2.39466502269	994.226898387	1.37719936027	0.975194742109
6	1.09654467123	2.42537832417	1.19732216646	1.72111674081	0.8496472902	0.00172111674081	1000	0	1	0.5	0.5	3.17291302954	992.680591905	1.68703591661	1.19732216646
7	1.34530284573	2.97403226099	1.46826318673	2.11154756622	1.04240995275	0.00211154756622	1000	0	1	0.5	0.5	4.12778504987	990.786635123	2.06588087398	1.46826318673
8	1.64881186349	3.64330160033	1.79878722745	2.58917024916	1.27825060937	0.00258917024916	1000	0	1	0.5	0.5	5.29897423042	988.46855392	2.5274248763	1.79878722745
9	2.01878101499	4.4584635763	2.20140890135	3.17239055562	1.566265134	0.00317239055562	1000	0	1	0.5	0.5	6.73453493895	985.634610929	3.0881348168	2.20140890135
10	2.46890388052	5.44911432861	2.69078328934	3.88321881773	1.91734068553	0.00388321881773	1000	0	1	0.5	0.5	8.49261055736	982.175056296	3.767231202	2.69078328934
11	3.01516267062	6.64964751211	3.28395252854	4.74766043632	2.34434939957	0.00474766043632	1000	0	1	0.5	0.5	10.6433316094	977.959360442	4.58670085046	3.28395252854
12	3.67600843249	8.09948827969	4.00047140553	5.79609057894	2.86233779993	0.00579609057894	1000	0	1	0.5	0.5	13.2709098993	972.833511242	5.57114933951	4.00047140553
13	4.47239726274	9.84297878506	4.8623633437	7.06350425569	3.48865737211	0.00706350425569	1000	0	1	0.5	0.5	16.4758934853	966.617623474	6.7473373604	4.8623633437
14	5.42760749822	11.9287228829	5.89381311824	8.58951529801	4.24297405936	0.00858951529801	1000	0	1	0.5	0.5	20.3774899412	959.104271878	8.14322726342	5.89381311824
15	6.56672242993	14.4081214455	7.12046431457	10.41793543	5.14707381907	0.01041793543	1000	0	1	0.5	0.5	25.1157922391	950.058150885	9.78633388931	7.12046431457
16	7.91562664617	17.3327615043	8.56815503935	12.5957103955	6.2243544963	0.0125957103955	1000	0	1	0.5	0.5	30.8536439198	939.21788418	11.7011517699	8.56815503935
17	9.49933520093	20.7502793961	10.2609026771	15.1709348747	7.49886648672	0.0151709348747	1000	0	1	0.5	0.5	37.7777546415	926.301031088	13.9054458241	10.2609026771
18	11.3394666761	24.6983362341	12.2179549486	18.189629027	8.9937443593	0.018189629027	1000	0	1	0.5	0.5	46.0985271653	911.013507574	16.4052813848	12.2179549486
