Days	Hospital Resources.Beds	Hospital Resources.occupied ward beds	Hospital.physical ward beds available	Hospital.expected beds freed	Hospital.physical ward beds needed	Hospital.physical ward beds gap	Hospital Resources.max available nurses	Hospital Resources.absent nurses	Hospital Resources.nurses at work	Hospital Resources.occupied nurses	Hospital Resources.available nurses	Hospital Resources.expected nurses freed	Hospital Resources.total nurses needed for incoming patients	Hospital Resources.nurses gap	Hospital Resources.extra staff needed for overflow patients	Hospital Resources.staffed ward beds available	Hospital Resources.staffed ward beds needed	Hospital Resources.staffed ward beds gap	Hospital Resources.ICU Beds	Hospital Resources.occupied ICU beds	Hospital.physical ICU beds available	Hospital.expected ICU beds freed	Hospital.physical ICU beds needed	Hospital.physical ICU beds gap	Hospital Resources.max available ICU nurses	Hospital Resources.absent ICU nurses	Hospital Resources.ICU Nurses at work	Hospital Resources.occupied ICU nurses	Hospital Resources.available ICU nurses	Hospital Resources.expected ICU nurses freed	Hospital Resources.total ICU nurses needed for incoming patients	Hospital Resources.ICU nurses gap	Ventilators.ventilators in stock	Ventilators.ventilators in use	Ventilators.ventilators available	Ventilators.expected ventilators freed	Ventilators.ventilators needed for incoming ICU patients	Ventilators.gap in ventilators	Hospital Resources.staffed equipped ICU beds available	Hospital Resources.staffed equipped ICU beds needed	Hospital Resources.staffed equipped ICU beds gap	PPE.PPE	PPE.PPE needed	PPE.PPE gap	PPE.total PPE used	PPE.interrupted PPE supply	Hospital.peak ICU demand	Hospital.peak demand ICU beds	Hospital.peak demand ICU nurses	Hospital.peak demand ventilators	Hospital.peak ward demand	Hospital.peak demand ward beds	Hospital.peak demand nurses	Hospital.peak demand PPE	Hospital Resources.activate surge strategy 1	Hospital Resources.activate surge strategy 2	PPE.activate surge strategy 3	Hospital Resources.activate surge strategy 4	Testing.Testing capacity	Tracing.Contact tracing capacity	Vaccines.Vaccination capacity	Within-host profile.Attack rate	Within-host profile.Attack rate by age[y]	Within-host profile.Attack rate by age[o]	Within-host profile.Incidence by age[y]	Within-host profile.Incidence by age[o]	Hospital.total in hospital[y]	Hospital.total in hospital[o]	Hospital.hospital admissions[y]	Hospital.hospital admissions[o]	Hospital.hospital discharges[y]	Hospital.hospital discharges[o]	Hospital.ICU admissions[y]	Hospital.ICU admissions[o]	Hospital.ICU discharges[y]	Hospital.ICU discharges[o]	Hospital.deaths in hospital[y]	Hospital.deaths in hospital[o]	Hospital.Patients Waiting for Ward Bed[y]	Hospital.Patients Waiting for Ward Bed[o]	Hospital.In Ward Overflow[y]	Hospital.In Ward Overflow[o]	Hospital.ward admissions[y]	Hospital.ward admissions[o]	Hospital.moving to ward overflow[y]	Hospital.moving to ward overflow[o]	Hospital.Patients Waiting for ICU[y]	Hospital.Patients Waiting for ICU[o]	Hospital.In ICU Overflow[y]	Hospital.In ICU Overflow[o]	Hospital.Total needed ICU[y]	Hospital.Total needed ICU[o]	Hospital.moving to ICU overflow[y]	Hospital.moving to ICU overflow[o]	Hospital.at risk of dying from lack of ICU[y]	Hospital.at risk of dying from lack of ICU[o]	Hospital.Total ICU admissions[y]	Hospital.Total ICU admissions[o]	Hospital.Total needed Ward Bed[y]	Hospital.Total needed Ward Bed[o]	Hospital.Total Ward admissions[y]	Hospital.Total Ward admissions[o]	Hospital.Potential deaths due to lack of ICU[y]	Hospital.Potential deaths due to lack of ICU[o]	Hospital.total deaths[y]	Hospital.total deaths[o]	Mobility.Mobility index
0	175946.2845	0	175946.2845	0	0	0	46081.16975	0	46081.16975	0	46081.16975	0	0	0	0	175946.2845	0	0	50270.367	0	50270.367	0	0	0	27229.782125	0	27229.782125	0	27229.782125	0	0	0	29324.38075	0	29324.38075	0	0	0	50270.367	0	0	4000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19354609048e-8	6.32450264111e-8	0	0.439753072188	0.4670549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	175946.2845	0.000128702608706	175946.284371	0.00000135911531765	0.000483345524515	0	46081.16975	0.0000318401196632	46081.1697182	0.0000257405217412	46081.1696924	2.71823063529e-7	0.000096669104903	0	0	175946.284371	0.000483345524515	0	50270.367	0.0000116099509913	50270.3669884	4.6336433297e-8	0.0000423608323933	0	27229.782125	0.0000188146161646	27229.7821062	0.00000580497549564	27229.7821004	2.31682166485e-8	0.0000211804161966	0	29324.38075	0.00000650157255511	29324.3807435	2.59484026463e-8	0.0000237220661402	0	50270.3669884	0.0000423608323933	0	4035017.97924	0.000746975091683	0	0.000198429479161	0	0.0000507473026033	0.0000507473026033	0.0000253736513017	0.0000284184894579	0.000556505076509	0.000556505076509	0.000111301015302	0.000683373333017	0	0	0	0	54482.2355085	0	0	2.26631803243e-8	9.03804060621e-8	6.91102393003e-9	0.411888471734	0.477630348034	0.000660514254857	0.00000550466174861	0.00399432817659	0.000124775705058	0.0000305588144447	1.68933383866e-7	0.0000419809489586	3.79883434658e-7	5.24861398418e-7	2.86364663994e-9	0.0000013720648436	7.54066101589e-9	0.00047899132081	0.00000435420370519	0	0	0.00047899132081	0.00000435420370519	0	0	0.0000419809489586	3.79883434658e-7	0	0	0.0000537664524343	4.43745566549e-7	0	0	0	0	0.0000117855034757	6.3862131891e-8	0.000613984442203	0.00000508728759061	0.000134993121393	7.33083885419e-7	0	0	2.88642790709e-7	1.04802852052e-9	1
2	175946.2845	0.00115342692073	175946.283347	0.0000268877237236	0.00194864729873	0	46081.16975	0.000165558908687	46081.1695844	0.000230685384145	46081.1693538	0.00000537754474471	0.000389729459746	0	0	175946.283347	0.00194864729873	0	50270.367	0.00010980165102	50270.3668902	9.54937738414e-7	0.000175161946701	0	27229.782125	0.0000978302642242	27229.7820272	0.0000549008255102	27229.7819723	4.77468869207e-7	0.0000875809733504	0	29324.38075	0.0000614889245714	29324.3806885	5.34765133512e-7	0.0000980906901525	0	50270.3668902	0.000175161946701	0	4099154.46486	0.00381448321376	0	0.00227159109971	0	0.000269435697345	0.000269435697345	0.000134717848673	0.000150883990513	0.0027591431759	0.0027591431759	0.000551828635179	0.00343273241926	0	0	0	0	55540.9896531	0	0	3.3314546037e-8	1.15346180383e-7	1.42326194013e-8	0.379631807489	0.52437993338	0.00326347313452	0.00012356468266	0.00513952201452	0.000691732794581	0.000268291402901	0.00000708927442242	0.000167774532192	0.00000738741450841	0.00000486674290787	1.24241229425e-7	0.0000123488106152	3.21204241213e-7	0.00186489663364	0.0000837506650937	0	0	0.00186489663364	0.0000837506650937	0	0	0.000167774532192	0.00000738741450841	0	0	0.000279890689109	0.0000102045872853	0	0	0	0	0.000112116156916	0.00000281717277692	0.00313084555116	0.000115859161582	0.00126594891752	0.000032108496488	0	0	0.00000597361597107	1.00445333262e-7	1
3	175946.2845	0.00337003679331	175946.28113	0.000124985301741	0.00359595349642	0	46081.16975	0.000372406332985	46081.1693776	0.000674007358661	46081.1687036	0.0000249970603482	0.000719190699283	0	0	175946.28113	0.00359595349642	0	50270.367	0.000342403749395	50270.3666576	0.00000466094147328	0.000335986979343	0	27229.782125	0.000220058287673	27229.7819049	0.000171201874698	27229.7817337	0.00000233047073664	0.000167993489671	0	29324.38075	0.000191746099661	29324.3805583	0.00000261012722504	0.000188152708432	0	50270.3666576	0.000335986979343	0	4151529.7489	0.00866196711157	0	0.008355861255	0	0.000637824715052	0.000637824715052	0.000318912357526	0.000357181840429	0.00603934550286	0.00603934550286	0.00120786910057	0.00763390729049	0	0	0	0	56614.0117468	0	0	4.44248303183e-8	1.38811924638e-7	2.24688175737e-8	0.365217081983	0.600262765265	0.00700778284547	0.00063659817299	0.00560001252013	0.00165513151568	0.000754643343764	0.0000499529406379	0.000302426006238	0.0000335609731048	0.0000146527143414	9.11092449305e-7	0.000035862114662	0.00000230501595491	0.00322218730691	0.000373766189507	0	0	0.00322218730691	0.000373766189507	0	0	0.000302426006238	0.0000335609731048	0	0	0.000649911291048	0.0000546001356025	0	0	0	0	0.00034748528481	0.0000210391624977	0.00705758777852	0.000610750479687	0.00383540047161	0.00023698429018	0	0	0.0000289726324515	0.00000117126059529	1
4	175946.2845	0.00650359427844	175946.277996	0.000332718915437	0.0051448176198	0	46081.16975	0.000612194977221	46081.1691378	0.00130071885569	46081.1678371	0.0000665437830874	0.00102896352396	0	0	175946.277996	0.0051448176198	0	50270.367	0.00070926721444	50270.3662907	0.000013095017721	0.000502227240128	0	27229.782125	0.000361751577449	27229.7817632	0.00035463360722	27229.7814086	0.00000654750886049	0.000251113620064	0	29324.38075	0.000397189640086	29324.3803528	0.00000733320992375	0.000281247254472	0	50270.3662907	0.000502227240128	0	4189026.77356	0.0146771480347	0	0.0198953113567	0	0.00113282464601	0.00113282464601	0.000566412323005	0.000634381801766	0.00990771767651	0.00990771767651	0.0019815435353	0.0127397792915	0	0	0	0	57701.250174	0	0	5.64811948347e-8	1.61881557193e-7	3.19633122164e-8	0.366548385564	0.69434871942	0.0110226716933	0.00183723465949	0.00594661812899	0.00288045868413	0.00137814758255	0.000174585551429	0.000415310453303	0.0000869167868257	0.0000289077860723	0.00000333163276593	0.0000680066241522	0.00000822847935636	0.00419904405094	0.000945773568863	0	0	0.00419904405094	0.000945773568863	0	0	0.000415310453303	0.0000869167868257	0	0	0.00112275885457	0.000165376617035	0	0	0	0	0.000707448401266	0.0000784598302091	0.0117905575512	0.00181602506707	0.00759151350022	0.000870251498212	0	0	0.000080136888197	0.00000596277046362	1
5	175946.2845	0.0102778794281	175946.274222	0.000666172337075	0.00664925567373	0	46081.16975	0.000864382708557	46081.1688856	0.00205557588562	46081.16683	0.000133234467415	0.00132985113475	0	0	175946.274222	0.00664925567373	0	50270.367	0.001203421074	50270.3657966	0.0000277341374279	0.000676484680919	0	27229.782125	0.000510771600511	27229.7816142	0.000601710536999	27229.7810125	0.0000138670687139	0.000338242340459	0	29324.38075	0.000673915801439	29324.3800761	0.0000155311169596	0.000378831421314	0	50270.3657966	0.000676484680919	0	4215871.16218	0.0216268994891	0	0.037918491532	0	0.00175055188377	0.00175055188377	0.000875275941883	0.000980309054909	0.0142107459002	0.0142107459002	0.00284214918003	0.0185871256096	0	0	0	0	58802.6429419	0	0	6.98234440547e-8	1.8540453236e-7	4.29373547418e-8	0.379074761495	0.801063162981	0.0148966778107	0.00391036304606	0.00629409436443	0.00427784679685	0.00203184928346	0.000421994430003	0.000507699207499	0.000168785473419	0.0000462432345713	0.00000845772333771	0.000104504733578	0.000020362890712	0.0048612639517	0.00178799172202	0	0	0.0048612639517	0.00178799172202	0	0	0.000507699207499	0.000168785473419	0	0	0.00167733024391	0.000372144397041	0	0	0	0	0.00116963103641	0.000203358923622	0.0170352278091	0.00400344775079	0.0121739638574	0.00221545602876	0	0	0.000165880007232	0.0000195646663385	1
6	175946.2845	0.0145539829295	175946.269946	0.00112883612117	0.00819599800172	0	46081.16975	0.00112321654186	46081.1686268	0.0029107965859	46081.165716	0.000225767224234	0.00163919960034	0	0	175946.269946	0.00819599800172	0	50270.367	0.00182309409224	50270.3651769	0.0000497073322196	0.000863753170985	0	27229.782125	0.000663718865644	27229.7814613	0.000911547046121	27229.7805497	0.0000248536661098	0.000431876585493	0	29324.38075	0.00102093269166	29324.3797291	0.000027836106043	0.000483701775752	0	50270.3651769	0.000863753170985	0	4235089.2468	0.0294670990893	0	0.063329957169	0	0.00249436120677	0.00249436120677	0.00124718060338	0.00139684227579	0.0189317771854	0.0189317771854	0.00378635543708	0.0251676802023	0	0	0	0	59918.1174748	0	0	8.47037810636e-8	2.09985628457e-7	5.55611333548e-8	0.39977694928	0.918720892068	0.018508245383	0.00692858281142	0.00665338635728	0.00580509684959	0.0026580598989	0.000816703525522	0.000586745186325	0.00027700798466	0.0000656381179331	0.0000172297953507	0.000142731034991	0.0000404169539465	0.00534422642355	0.00285177157817	0	0	0.00534422642355	0.00285177157817	0	0	0.000586745186325	0.00027700798466	0	0	0.00230383427856	0.000700344893089	0	0	0	0	0.00171708909223	0.000423336908429	0.0226830202925	0.00737496429018	0.017338793869	0.00452319271201	0	0	0.000289123358482	0.0000490846615112	1
7	175946.2845	0.0192835555441	175946.265216	0.00171945759983	0.00983151450635	0	46081.16975	0.00139002874519	46081.16836	0.00385671110883	46081.1645033	0.000343891519967	0.00196630290127	0	0	175946.265216	0.00983151450635	0	50270.367	0.0025702071956	50270.3644298	0.0000799451991983	0.00106640410292	0	27229.782125	0.000821380622158	27229.7813036	0.0012851035978	27229.7800185	0.0000399725995992	0.000533202051459	0	29324.38075	0.00143931602953	29324.3793107	0.000044769311551	0.000597186297635	0	50270.3644298	0.00106640410292	0	4248847.60078	0.0382065982968	0	0.0970229018841	0	0.00336836150827	0.00336836150827	0.00168418075413	0.00188628244463	0.0240817797821	0.0240817797821	0.00481635595642	0.0325026835528	0	0	0	0	61047.5904183	0	0	1.0134066654e-7	2.3608845324e-7	6.99960834337e-8	0.427143320838	1.047599768	0.0218591061424	0.0108925752066	0.00702507729268	0.00744948056241	0.0032367746149	0.00136717427126	0.000657678832392	0.000408725270527	0.0000864435820432	0.0000303840177567	0.000181430107227	0.0000694619887759	0.00574249734318	0.00408901716317	0	0	0.00574249734318	0.00408901716317	0	0	0.000657678832392	0.000408725270527	0	0	0.00299694828414	0.00117205049091	0	0	0	0	0.00233926945174	0.000763325220387	0.0287017158792	0.012083430081	0.022959218536	0.00799441291788	0	0	0.000450890640382	0.000103017601243	1
8	175946.2845	0.0244563222124	175946.260044	0.00243579487985	0.0115750082827	0	46081.16975	0.00166870602387	46081.1680813	0.00489126444249	46081.16319	0.00048715897597	0.00231500165654	0	0	175946.260044	0.0115750082827	0	50270.367	0.00344789636605	50270.3635521	0.000119257336338	0.00128528535037	0	27229.782125	0.000986053559559	27229.7811389	0.00172394818303	27229.779415	0.0000596286681689	0.000642642675184	0	29324.38075	0.00193082196499	29324.3788192	0.0000667841083491	0.000719759796206	0	50270.3635521	0.00128528535037	0	4258697.2898	0.0478642847862	0	0.139905432358	0	0.00437623039676	0.00437623039676	0.00218811519838	0.00245068902219	0.0296726788709	0.0296726788709	0.00593453577419	0.0406132548628	0	0	0	0	62190.9674568	0	0	1.19949844272e-7	2.6411313903e-7	8.64150569176e-8	0.460606179755	1.18887135679	0.024992835429	0.0157716767826	0.00741651823492	0.00921395992454	0.00376744073597	0.00207150619225	0.000723624653743	0.000561660696626	0.000108248859596	0.0000484737024968	0.000220107558171	0.000108098355699	0.00610787937841	0.00546712890431	0	0	0.00610787937841	0.00546712890431	0	0	0.000723624653743	0.000561660696626	0	0	0.00375334945461	0.00180728731514	0	0	0	0	0.00302972480086	0.00124562661851	0.0350878739738	0.0182568644368	0.0289799945954	0.0127897355324	0	0	0.00065136798085	0.000190680247154	1
9	175946.2845	0.0300771886466	175946.254423	0.00327593453972	0.0134388442673	0	46081.16975	0.00196375624249	46081.1677862	0.00601543772933	46081.1617708	0.000655186907943	0.00268776885346	0	0	175946.254423	0.0134388442673	0	50270.367	0.00445968897008	50270.3625403	0.000168366258823	0.001521165789	0	27229.782125	0.00116040141601	27229.7809646	0.00222984448504	27229.7787348	0.0000841831294113	0.000760582894502	0	29324.38075	0.00249742582324	29324.3782526	0.0000942851049406	0.000851852841842	0	50270.3625403	0.001521165789	0	4265748.73299	0.0584681698117	0	0.192908414913	0	0.00552190444629	0.00552190444629	0.00276095222315	0.00309226648992	0.0357206479059	0.0357206479059	0.00714412958119	0.0495254090217	0	0	0	0	63348.143144	0	0	1.40760461642e-7	2.94441991053e-7	1.0501157412e-7	0.500125539062	1.34413471173	0.0279657066325	0.0215311810405	0.00784066886607	0.0111098159249	0.00425761206044	0.00292331672894	0.000786716328957	0.000734449460047	0.000130792062785	0.0000719210722184	0.000258644259231	0.000156661856164	0.00646863482617	0.00697020944114	0	0	0.00646863482617	0.00697020944114	0	0	0.000786716328957	0.000734449460047	0	0	0.00457127785892	0.00262516025732	0	0	0	0	0.00378456152996	0.00189071079727	0.0418528892863	0.0260162971551	0.0353842544601	0.0190460877139	0	0	0.000890453489779	0.000321843558711	1
